Date,Event
7/20/19,Augustin in NYC. 100 degree weather
7/21/19,Augustin in NYC. 100 degree weather
7/1/17,London with Titouan
7/2/17,London with Titouan
7/3/17,Wimbledon
9/10/21,Ann Arbor trip 2021
9/11/21,Ann Arbor trip 2021
9/12/21,Ann Arbor trip 2021
9/5/21,Maine hiking 2021
9/4/21,Boston with Michigan friends
8/7/21,Windham reunion
7/10/21,Adirondack Pharoah Lake hike
7/2/21,Seattle
7/3/21,Seattle
7/4/21,Seattle
6/11/21,Ann Arbor Father's Day 2021
6/12/21,Ann Arbor Father's Day 2021
4/10/21,Otis with family
4/11/21,Otis with family
4/12/21,Otis with family
4/13/21,Otis with family
4/14/21,Otis with family
4/15/21,Otis with family
4/16/21,Otis with family
